Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Yield_ton_per_ha,Crop_Barley,Crop_Maize,Crop_Rice,Crop_Wheat,Region_Region_A,Region_Region_B,Region_Region_C,Region_Region_D,Soil_Type_Clay,Soil_Type_Loam,Soil_Type_Sandy,Irrigation_Drip,Irrigation_Flood,Irrigation_Sprinkler,Irrigation_Unknown,Previous_Crop_Barley,Previous_Crop_Maize,Previous_Crop_Rice,Previous_Crop_Unknown,Previous_Crop_Wheat
1485.4,19.7,40.3,105.1,101.48,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
399.4,29.1,55.4,221.8,127.39,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
980.9,30.5,74.4,61.2,68.99,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
1054.3,26.4,62.0,257.8,169.06,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
744.6,20.4,70.9,195.8,118.71,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False
817.5,23.1,47.6,64.6,58.85,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
1358.2,16.9,31.9,267.9,173.44,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1038.9,34.1,31.7,269.4,170.05,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False
846.1,32.4,86.6,263.2,162.2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
366.9,16.3,86.7,243.6,141.67,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
209.5,18.3,42.7,219.5,116.72,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
362.5,26.6,38.8,149.2,95.23,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1443.0,19.6,31.1,84.1,90.56,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
1193.3,33.7,43.9,122.2,110.57,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
1457.3,30.1,50.1,136.8,116.37,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
246.4,20.5,44.5,139.5,77.17,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
1084.3,15.1,77.8,191.4,131.97,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
257.6,31.0,75.0,102.1,56.94,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
1216.7,23.5,34.9,97.4,90.69,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
695.2,27.8,71.8,229.2,143.84,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
324.5,20.7,61.2,51.9,45.32,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
938.5,17.9,37.9,87.4,77.47,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
564.2,28.5,74.4,158.7,101.26,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1057.4,24.0,35.2,87.3,89.88,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
1055.6,19.7,40.6,290.0,180.56,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1116.5,17.8,39.0,217.5,140.51,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
1490.2,26.6,86.3,158.2,128.95,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
702.7,29.5,71.9,78.1,59.31,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
804.9,20.7,54.7,146.3,95.27,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1246.0,29.7,79.3,212.7,150.88,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
951.9,18.7,43.0,292.2,171.77,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
248.4,21.8,85.9,168.2,92.83,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1296.0,29.9,71.8,223.1,150.57,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
266.9,28.2,63.6,98.8,63.75,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
422.1,20.4,77.7,205.9,116.13,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
332.7,17.4,68.7,109.8,71.02,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
301.3,15.8,83.2,99.5,64.21,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
233.4,31.8,79.7,177.3,95.49,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
271.5,16.5,41.9,102.9,67.5,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True
775.2,17.3,44.4,230.3,141.01,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
528.7,19.8,33.9,284.3,155.85,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False
364.5,23.9,43.2,148.4,91.78,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1056.3,30.8,50.6,130.6,111.95,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
493.9,19.9,31.7,94.0,64.81,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
224.6,25.9,48.9,147.6,77.48,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
743.9,16.8,76.3,189.9,125.24,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
603.6,24.3,80.4,143.2,102.45,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
614.2,18.6,30.5,205.8,119.64,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
778.9,19.2,30.4,215.6,131.03,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
1069.6,22.3,38.8,74.5,73.98,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1001.4,30.2,82.4,224.4,138.61,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
1418.4,29.9,58.2,275.1,196.49,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False
873.0,23.3,89.0,56.6,58.9,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
814.3,17.4,83.2,187.8,122.02,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
477.4,20.6,83.4,201.0,120.73,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1182.0,25.1,37.7,227.5,152.94,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
383.0,32.4,58.5,146.4,88.59,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
838.5,34.4,89.6,254.7,154.68,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
747.7,27.7,38.9,185.0,114.58,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
1055.8,22.0,64.5,152.2,114.21,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
1392.9,28.9,50.7,229.8,169.23,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
1430.6,21.7,53.3,281.8,192.91,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
418.1,27.5,83.4,253.0,143.1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
540.4,19.9,65.3,282.7,160.58,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1255.1,20.3,75.5,116.5,108.05,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False
873.8,16.5,70.4,79.6,65.32,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
788.9,23.4,61.7,183.6,111.8,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
1123.8,27.4,77.5,61.1,71.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
982.5,30.8,88.2,218.6,149.2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1461.9,31.2,88.0,110.0,92.66,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
959.2,34.8,77.4,163.6,119.53,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
805.8,16.8,59.2,213.9,128.84,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
